Valore  Binary Size     Varint Size     PforDeltaSize  	Unary Size
1       583814340       145953585       145953585       145953585
2       113970548       28492637        28492637        56985274
3       25828916        6457229         6457229         19371687
4       12450924        3112731         3112731         12450924
5       4208088         1052022         1052022         5260110
6       2358124         589531          589531          3537186
7       926352          231588          231588          1621116
8       577432          144358          144358          1154864
9       243096          60774           60774           546966
10      157828          39457           39457           394570
11      72440           18110           18110           199210
12      50824           12706           12706           152472
13      22752           5688            5688            73944
14      16424           4106            4106            57484
15      8708            2177            2177            32655
16      6768            1692            1692            27072
17      3628            907             907             15419
18      2532            633             633             11394
19      1404            351             351             6669
20      1272            318             318             6360
21      568             142             142             2982
22      620             155             155             3410
23      320             80              80              1840
24      392             98              98              2352
25      220             55              55              1375
26      196             49              49              1274
27      116             29              29              783
28      112             28              28              784
29      80              20              20              580
30      128             32              32              960
31      44              11              11              341
32      96              24              24              768
33      28              7               7               231
34      20              5               5               170
35      24              6               6               210
36      8               2               2               72
37      4               1               1               37
38      12              3               3               114
39      4               1               1               39
40      12              3               3               120
41      4               1               1               41
42      4               1               1               42
43      4               1               1               43
44      12              3               3               132
45      8               2               2               90
46      4               1               1               46
48      4               1               1               48
49      4               1               1               49
51      4               1               1               51
53      4               1               1               53
55      4               1               1               55
58      8               2               2               116
64      4               1               1               64
65      4               1               1               65
70      4               1               1               70
74      4               1               1               74
88      4               1               1               88
117     4               1               1               117
Encoding        Total Size
Binary          744725492
Varint          186181373
P for Delta     186181373
Unary           247878647
La codifica variable byte (varint) è la più efficiente.
